lat,lon,diff,year,type
402,360,205.11961364746094,2015,population
407,362,199.52047729492188,2015,population
356,264,198.93858337402344,2015,population
404,346,-111.42578125,2015,population
404,347,-134.8084716796875,2015,population
403,347,-134.860595703125,2015,population
406,354,536.6053466796875,2020,population
406,353,535.8248291015625,2020,population
407,354,534.093505859375,2020,population
277,192,-37.566864013671875,2020,population
276,192,-38.37052917480469,2020,population
275,192,-38.612213134765625,2020,population
224,375,2279.0,2015,gpp
292,414,2114.0,2015,gpp
508,300,2013.0,2015,gpp
282,394,-2047.0,2015,gpp
702,414,-2062.0,2015,gpp
636,299,-2068.0,2015,gpp
602,327,2949.0,2020,gpp
601,344,2929.0,2020,gpp
510,463,2913.0,2020,gpp
524,289,-1930.0,2020,gpp
391,365,-1930.0,2020,gpp
224,375,-2562.0,2020,gpp
